Ref Des,Mid X (mm),Mid Y (mm),Rotation,Comment,Package,LCSC Part Number
BOOT_BUTTON,64,108.69,180,BUTTON_CUSYOMV1,MYBUTTON,
C1,158.76,4.53,90,100nF,EAGLE-LTSPICE_C0402,
C10,27.36,108.43,270,100nF,EAGLE-LTSPICE_C0402,
C10_SUPERCAP,95.56,53.94,270,CPH3225A,CAPCP3225X100N,
C1_BAT,118.76,49.15,180,4.7uF,EAGLE-LTSPICE_C0402,
C1_BAT1,115.7,37.4,180,4.7uF,EAGLE-LTSPICE_C0402,
C1_BAT2,128.89,40.07,270,4.7uF,EAGLE-LTSPICE_C0402,
C2,160.04,4.53,90,100nF,EAGLE-LTSPICE_C0402,
C2_BAT,127.78,53.43,90,4.7uF,EAGLE-LTSPICE_C0402,
C3,125.31,39.2,270,100uF TANT,RCL_CT3528,
C4,93.15,36.29,270,4.7uF/25V,EAGLE-LTSPICE_C0402,
C4_USB,155.11,49.25,180,100nF,EAGLE-LTSPICE_C0402,
C5,52.43,108.51,270,1uF,EAGLE-LTSPICE_C0402,
C5_USB,155.14,50.43,180,4.7uF,EAGLE-LTSPICE_C0402,
C6,67.42,108.43,270,100nF,EAGLE-LTSPICE_C0402,
C7,73.4,30.81,270,10uF,EAGLE-LTSPICE_C0402,
C8,92.3,53.83,90,100nF,EAGLE-LTSPICE_C0402,
C9,7.18,89.52,270,100nF,EAGLE-LTSPICE_C0402,
CHANGE_BUTTON,24,108.69,180,BUTTON_CUSYOMV1,MYBUTTON,
CHG_LED,118.84,50.85,90,,ADAFRUIT_CHIP-LED0603,
C_DELAY,52.01,102.09,270,100nF,EAGLE-LTSPICE_C0402,
D1,154.6,53.17,0,USBLC6-2SC6Y,SOT95P280X145-6N,
D10,41.44,35.27,270,PGB1010603MR,DIOC1608X36N,
D11,44.22,35.27,270,PGB1010603MR,DIOC1608X36N,
D12,45.85,35.28,270,PGB1010603MR,DIOC1608X36N,
D2,116.34,40.48,90,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0_0AVX_SD0805S020S1R0_0_0,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0,
D3,80.23,39.48,180,MBR0530,SOD3716X135N,
D4,89.47,35.48,180,MBR0530,SOD3716X135N,
D5,89.41,31.88,0,MBR0530,SOD3716X135N,
D6,73,28.07,0,PGB1010603MR,DIOC1608X36N,
D7,88.09,66.98,0,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0_0AVX_SD0805S020S1R0_0_0,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0,
D8,12.18,87.57,0,PGB1010603MR,DIOC1608X36N,
D9,34.16,46.37,270,PGB1010603MR,DIOC1608X36N,
EPD_C1,69.1,19.35,90,1uF/50V,EAGLE-LTSPICE_C0402,
EPD_C10,79.95,24.39,90,1uF/50V,EAGLE-LTSPICE_C0402,
EPD_C11,78.21,24.42,90,1uF/50V,EAGLE-LTSPICE_C0402,
EPD_C12,76.39,24.39,90,1uF/50V,EAGLE-LTSPICE_C0402,
EPD_C2,70.31,19.35,90,1uF/50V,EAGLE-LTSPICE_C0402,
EPD_C5,88.69,24.39,90,0.1uF/50V,EAGLE-LTSPICE_C0402,
EPD_C6,86.92,24.35,90,1uF/50V,EAGLE-LTSPICE_C0402,
EPD_C7,85.03,24.35,90,1uF/50V,EAGLE-LTSPICE_C0402,
EPD_C8,83.34,24.35,90,1uF/50V,EAGLE-LTSPICE_C0402,
EPD_C9,81.65,24.35,90,1uF/50V,EAGLE-LTSPICE_C0402,
IC1,48.87,101.77,0,BD5229G-TR,SOT95P280X125-5N,
IC4,120.61,40.27,0,XC6220A331MR-G,SOT95P280X120-5N,
J1,82.94,13.74,0,FH34SRJ-24S-0.5SH_99_,FH34SRJ24S05SH99,
J2,166.21,54.4,90,SAMACSYS_PARTS_USB4110-GF-A,SAMACSYS_PARTS_USB4110GFA,
J3,166.82,19.2,90,QWIIC_RIGHT_ANGLE,JST04_1MM_RA,
J4,8.65,77.69,270,112A-TAAR-R03_ATTEND,112ATAARR03ATTEND,
L1,80.17,34.55,270,68uH,IND_4828-WE-TPC_WRE,
MCP73831,122.38,49.99,90,ESP32_WROVER_SPARKFUN-IC-POWER_MCP73831,ESP32_WROVER_SPARKFUN-IC-POWER_SOT23-5,
PFMF.050.1,153.64,46.5,180,ESP32C6_VARISTORCN1812,ESP32C6_VARISTOR_CT/CN1812,
Q1,130.16,48.51,0,20V/4.2A/52mΩ/1.4W,ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3,
Q2,76.93,28.26,270,20V/4.2A/52mΩ/1.4W,ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3,
Q3,66.24,17.28,90,SI1308EDL-T1-GE3,SOT65P210X110-3N,
R1,19.28,40.91,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R10,8.96,89.51,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R1_BAT,114.89,50.83,0,200,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R1_PINH,156.33,4.57,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R1_PINH1,88.04,65.19,0,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R1_PWRUSB,114.22,40.64,90,100K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R2,71.64,30.81,90,2.2,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R2-PINH1,91.77,63.89,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R2-USB,157.73,56.13,270,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R2-USB1,150.57,53.17,90,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R2_BAT,121.1,46.42,90,2K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R2_PINH,157.55,4.57,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R3,66.54,12.92,90,0.47,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R4,64.3,13.91,0,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R5,32.62,46.41,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R6,41.64,31.91,270,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R7,44,31.91,270,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R8,45.58,31.91,270,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R9,70,17.01,180,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
RESET_BUTTON,49,108.69,180,BUTTON_CUSYOMV1,MYBUTTON,
R_BOOT,60.56,108.47,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R_CAPACITOR,84.32,49.94,180,15,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R_CHANGE,20.69,108.44,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R_CL1,80.68,29.53,0,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R_RESET,45.63,108.49,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
SENSOR2,158.25,10.62,90,ESP32_WROVER_BME680_BME680,ESP32_WROVER_BME680_PSON80P300X300X100-8N,
SJ1,63.86,11.79,180,,SJ,
TP1,11.31,64.69,0,TPTP20R,TP20R,
TP10,56.09,2.71,0,TPTP20R,TP20R,
TP11,2.39,38.99,0,TPTP20R,TP20R,
TP12,16.84,64.91,0,TPTP20R,TP20R,
TP13,20.79,65.01,0,TPTP20R,TP20R,
TP14,128.19,64.39,0,TPTP20R,TP20R,
TP15,86.74,89.09,0,TPTP20R,TP20R,
TP16,89.79,89.09,0,TPTP20R,TP20R,
TP17,59.44,2.69,0,TPTP20R,TP20R,
TP2,13.84,64.78,0,TPTP20R,TP20R,
TP3,130.95,64.49,0,TPTP20R,TP20R,
TP4,168.17,4.99,0,TPTP20R,TP20R,
TP5,83.56,89.09,0,TPTP20R,TP20R,
TP6,5.41,98.29,0,TPTP20R,TP20R,
TP7,2.43,31.29,0,TPTP20R,TP20R,
TP8,2.15,66.09,0,TPTP20R,TP20R,
TP9,2.47,35.39,0,TPTP20R,TP20R,
U1,37.69,52.96,0,W25Q512JVEIQ,SON127P600X800X80-9N,
U2,15.9,53.14,90,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8,
U3,84.65,58.1,270,DS3231SN#,SOIC127P1032X265-16N,
U4,133.47,53.02,0,MAX17048G+T10,SON50P200X200X80-9N,
